,,Wavelength (µm),"Reflectance, S-Pol. (%)","Reflectance, P-Pol. (%)","Reflectance, Unpol. (%)"
,,0.872,98.082825,96.719646,97.4012355
,,0.873,98.080986,96.709006,97.394996
,,0.874,98.081345,96.720163,97.400754
,,0.875,98.128204,96.736702,97.432453
,,0.876,98.089485,96.747251,97.418368
,,0.877,98.089279,96.729578,97.4094285
,,0.878,98.091278,96.727211,97.4092445
,,0.879,98.091888,96.742121,97.4170045
,,0.880,98.093605,96.761355,97.42748
,,0.881,98.100288,96.76685,97.433569
,,0.882,98.09359,96.769202,97.431396
,,0.883,98.104027,96.772589,97.438308
,,0.884,98.114105,96.767466,97.4407855
,,0.885,98.120079,96.773616,97.4468475
,,0.886,98.123154,96.770123,97.4466385
,,0.887,98.122002,96.774674,97.448338
,,0.888,98.121475,96.775915,97.448695
,,0.889,98.127457,96.795026,97.4612415
,,0.890,98.129288,96.79202,97.460654
,,0.891,98.131813,96.81588,97.4738465
,,0.892,98.13308,96.818301,97.4756905
,,0.893,98.125763,96.820546,97.4731545
,,0.894,98.1306,96.82958,97.48009
,,0.895,98.136681,96.824755,97.480718
,,0.896,98.145538,96.847695,97.4966165
,,0.897,98.147842,96.843615,97.4957285
,,0.898,98.148499,96.847877,97.498188
,,0.899,98.142525,96.845807,97.494166
,,0.900,98.148987,96.861418,97.5052025
,,0.901,98.150879,96.856006,97.5034425
,,0.902,98.153748,96.859964,97.506856
,,0.903,98.147476,96.873215,97.5103455
,,0.904,98.140297,96.877195,97.508746
,,0.905,98.144257,96.882531,97.513394
,,0.906,98.151932,96.883018,97.517475
,,0.907,98.152672,96.891185,97.5219285
,,0.908,98.158173,96.898194,97.5281835
,,0.909,98.162949,96.888703,97.525826
,,0.910,98.173325,96.897859,97.535592
,,0.911,98.172371,96.901673,97.537022
,,0.912,98.174187,96.894084,97.5341355
,,0.913,98.166451,96.900995,97.533723
,,0.914,98.178276,96.928509,97.5533925
,,0.915,98.180634,96.889046,97.53484
,,0.916,98.181877,96.893788,97.5378325
,,0.917,98.181145,96.896421,97.538783
,,0.918,98.179962,96.900858,97.54041
,,0.919,98.17794,96.910973,97.5444565
,,0.920,98.182549,96.915342,97.5489455
,,0.921,98.192467,96.924209,97.558338
,,0.922,98.190239,96.924848,97.5575435
,,0.923,98.19799,96.923867,97.5609285
,,0.924,98.198151,96.927215,97.562683
,,0.925,98.192177,96.962774,97.5774755
,,0.926,98.196526,96.970819,97.5836725
,,0.927,98.199242,96.965804,97.582523
,,0.928,98.19973,96.96489,97.58231
,,0.929,98.207985,96.97757,97.5927775
,,0.930,98.219307,96.982114,97.6007105
,,0.931,98.213181,96.984352,97.5987665
,,0.932,98.21032,96.984207,97.5972635
,,0.933,98.215294,96.984968,97.600131
,,0.934,98.219093,96.987845,97.603469
,,0.935,98.224197,96.995479,97.609838
,,0.936,98.222832,96.995807,97.6093195
,,0.937,98.223534,97.003319,97.6134265
,,0.938,98.228203,97.008875,97.618539
,,0.939,98.228577,97.004209,97.616393
,,0.940,98.276703,97.013175,97.644939
,,0.941,98.227287,97.011683,97.619485
,,0.942,98.236382,97.013594,97.624988
,,0.943,98.239609,97.015474,97.6275415
,,0.944,98.236809,96.990479,97.613644
,,0.945,98.237503,97.055736,97.6466195
,,0.946,98.241966,97.062738,97.652352
,,0.947,98.243233,97.058857,97.651045
,,0.948,98.24321,97.058948,97.651079
,,0.949,98.248688,97.064656,97.656672
,,0.950,98.258675,97.073645,97.66616
,,0.951,98.248299,97.074756,97.6615275
,,0.952,98.246994,97.068515,97.6577545
,,0.953,98.24852,97.076872,97.662696
